,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
Age,-0.000685068152778887,-0.27457243549534105,0.38115468781179607,-0.1085257328073835,0.10859650480481743,-0.007887586118048988,-0.2204089159770463,0.08669185177141994,0.3762900708343069,0.44730919858024604,0.019396100234079082,0.0019509228527245794,-0.5036843108649253,-0.2933792289529181,0.08283240877449913,-0.10445765047528031,-0.00042228334845725304
Tenure,-4.802879365100023e-06,-0.26845445726355954,0.30844974495664834,0.21802511348910783,0.2761822874737133,-0.2330465161786446,-0.26725080142431334,0.035101530589484425,-0.1507195841872469,0.1700886354542672,-0.3830461542203453,-0.37175926950653093,0.2914612026920881,0.3381193763231761,-0.06163886903667704,0.20582456390089907,-0.0005213936285971864
VoiceCallMinutes,0.0017093642492058397,0.32562724260727544,0.4451638689327491,-0.22931351274807774,0.045161980065580885,-0.11172071054241212,0.23422327127253179,-0.4082557867020559,-0.06595940962381724,0.1855868087034698,0.22490593666180456,0.05277250102580416,0.15517476322194912,-0.11908024654587751,0.12189001333347503,0.5117383629243579,-0.0007782253457476147
SMSsent,0.0007021758146872654,-0.28842716794153417,0.18720128142645104,-0.19026218147159552,-0.1625314364271644,0.5234718775126235,0.038309664008096635,-0.16915266985713376,0.05249117638905852,-0.03478212758157531,-0.3547325265405977,0.4728397468580918,0.017527301515827817,0.26627902608365217,-0.25714690350793346,0.1559864079064403,-2.7715901063574244e-05
DataUsageGB,0.7070404109163182,-0.0008509642599262281,-0.0010236408467049283,0.00020322589419930363,0.0007185022286080693,0.000286062416101788,-0.0006817625829741328,-0.0006426195793613898,-0.0005008814304042582,0.00044104443411029516,0.00030351395101147274,-0.0012924115002354685,-0.0016860514581208035,-5.713231581910899e-05,-0.0005079353225601969,0.0004294540778668731,0.7071669335447898
IntlCallMinutes,-1.314453205552766e-05,-0.16005106726486226,0.17264061033368858,-0.008175531528436277,0.2667527458530911,0.5526131745098917,0.036035552789024795,0.1908312665288935,0.15060590390655237,-0.17918647015455122,0.4339166987348606,-0.3534349074415824,0.31662151151705187,-0.16621847817320906,-0.1843433086138419,0.02020933886758291,-0.0002305724690940593
RoamingCharges,0.0021140967942007674,0.37608645581323097,-0.09109436411312664,-0.21338929103176352,-0.003409812099764553,-0.07758803306509977,-0.2739178051505205,0.2875708727101233,0.44248422790431213,0.2947535816034767,-0.08886313064271707,0.23850222535683835,0.5243661626172174,0.012234447856438587,-0.10676996488721684,-0.08366902357725792,0.00012932354110409188
NetworkIssues,0.0003756242305586641,-0.08732308022249574,-0.14381512895111684,0.20113360027979882,-0.3506321986660647,0.21805317091730947,0.37997612249272955,0.08751514024781969,-0.1729867112682332,0.5194919526729865,-0.27316467548402357,-0.19433231980197715,0.21558098160165498,-0.3846578557618243,0.044790393382265856,0.009100268357929047,-0.00020759097480464836
DroppedCalls,0.0009267068383401495,0.07379574844405411,-0.015169953804842332,-0.07366140865754914,0.18463170682125818,-0.09806058382574302,0.5242245636927201,-0.23654093482019334,0.5673382430894771,-0.18738803205250043,-0.37042197753094647,-0.2937776915899447,-0.034168059277525954,0.06578106242179663,-0.04307645904396321,-0.16301598871517142,-0.000563314167427453
SupportCalls,-0.00043490316063406854,0.26006134031516764,-0.03620676184769866,0.0435359443967683,0.5146503810461407,0.26757040597693754,0.2189049064741195,-0.023039715666302352,-0.254291815785872,0.4214404079039729,0.08102641370955516,0.11735142367238986,-0.11570964853904461,0.37352846438523374,0.07854439700917114,-0.35008290233903677,1.8674507869356397e-06
DataSpeed,0.7031496186081125,0.03128324430754485,-0.043072967709919786,-0.02118529387771337,0.008046874076915017,0.03428228803114259,-0.03125229168966058,-0.0010408491434309667,0.0019174494595138654,0.0067733705365100785,-0.020968370796750128,-0.037968939960152735,-0.035987557014141004,0.0033280012976656353,0.0003077631143747626,0.047435263143249376,-0.7032729283844713
Latency,-0.0007919102153578886,-0.2740284342278608,-0.2237106894230535,-0.20016466086019946,-0.3727997154165635,-0.0933114826085719,0.008086168718103444,-0.2608211800897012,0.16540262462792554,0.3216735853991132,0.42407381606176636,-0.2607957558029474,0.03772152231139772,0.4757345553174093,-0.09948936297753384,-0.051829073882335305,-0.00027070122743472186
SatisfactionScore,-0.00022981155689471124,0.008419976536764299,-0.06498415962293257,0.6338266230042365,-0.025721610952929228,0.07049927992723996,0.14215345324486803,0.20180846296868124,0.3847682043821586,0.03948810764887064,0.1657065084631273,0.20638801723697492,-0.08625919191288971,0.2529463335390788,0.2540569945394816,0.41445817626301845,0.0005812694567267198
Churn,0.0010202982331466413,0.2443858987265813,0.3059659701571667,-0.11412899623211831,-0.24836319296170856,-0.1244977270926826,0.28818876790059395,0.5746196190639974,-0.11307447981035539,-0.0132490925172129,0.02485482069181636,-0.1283261876897229,-0.2683831555330674,0.22308142757754465,-0.43065255287153065,0.07685082290134483,-0.0004425137739966602
PaymentHistory,-0.001527830714016764,-0.2944622790520333,-0.390865657367075,-0.05726188197927098,0.41566671077348477,-0.2825031582500399,0.19531787414631768,0.037318594604139416,-0.030189834880670473,0.14133426914588093,0.0931817341942585,0.23117010102411623,-0.02903571452166067,-0.20016942046454606,-0.49832270925175126,0.3047301591697459,0.00018262156837373585
ServiceDowntime,-0.07523691944084875,0.3111341938409399,-0.393111573760488,-0.2120041362195716,0.07080300215102787,0.32603925390311983,-0.2903502181777772,-0.009631010733401566,0.024511797681668585,0.06641240487240453,-0.20726614423875353,-0.3639413228811441,-0.3304539248860723,0.03223189160650492,0.002665514122787026,0.4542599441730029,0.07293778489282303
ContractRenewal,0.0005282129414574956,-0.31012838894662775,-0.09478538135200422,-0.5049988640072208,0.10595255265980498,-0.05002721792487125,0.2312387721331923,0.41506998269987555,-0.06277707293898599,-0.0640751926050801,-0.04367728730334799,0.03705844900688468,0.09215085634105201,0.11721940862678198,0.5871173489142877,0.14853353358035362,0.0002619711974414907
